requirement,excerpt,category,file,page,type,image,classification,compliance
"The contractor shall attain the Functional Guarantees specified in the Technical Specifications, subject to and upon the conditions therein specified.","attain the Functional Guarantees specified in the Technical   
Specifications, subject to and upon the conditions therein specified",TECHNICAL_SPECS,04- Section - IV GCC.pdf,62,TEXT,None,MANDATORY,UNKNOWN
The Contractor shall maintain a procedure for HSE Inspections at routine intervals to provide assurance that the instituted HSE procedures are in place to prevent deviations from established standards that could lead to a HSE hazard and consequential risk.,"HSE Inspections and Audits   
The Contractor shall maintain a procedure for HSE Inspections at routine intervals to provide   
assurance that the instituted HSE procedures are in place to prevent deviations from   
established standards that could lead to a HSE hazard and consequential risk",QUALITY_STANDARDS,HSE Code of Conduct for Contracts.pdf,14,TEXT,None,MANDATORY,YES
The contractor shall complete the outstanding items listed in the attachment hereto as soon as practicable.,"However, you are required to complete the outstanding items listed in the attachment   
hereto as soon as practicable",DOCUMENTATION,06-Section - VI Forms and Procedures.pdf,23,TEXT,None,MANDATORY,UNKNOWN
"The contractor shall provide Mandatory Spare Parts and Monitoring Instruments for Augmentation of Transformation capacity at Kallam PS on LSTK basis, as detailed in the Contract Document (""the Scope of Work"").","along with all equipments, fittings, accessories, foundation bolts (if any ) cables, Mandatory   
Spare Parts and Monitoring Instruments for Augmentation of  Transformation capacity at   
Kallam PS on LSTK basis, as detailed in the Contract Document (""the Scope of Work""), and   
the Contractor has agreed to such engagement upon and subject to the terms and conditions   
hereinafter appearing",QUALITY_STANDARDS,06-Section - VI Forms and Procedures.pdf,6,TEXT,None,MANDATORY,YES
The contractor shall provide safety helmets.,"The scope of work under this Notification of Award (NOA) shall also inclu de all such items   
which are not specifically mentioned in the Bidding Documents and/or your bid but are   
necessary for the successful completion of your scope under the Contract for the   
construction of …… (insert name of the Project)  ……., unless otherwise specifically excluded   
in the Bidding Documents or in this NOA",QUALITY_STANDARDS,06-Section - VI Forms and Procedures.pdf,3,TEXT,None,MANDATORY,YES
The network shall conform to the above Project Completion Schedule.,"The network shall conform to the above Project Completion   
Schedule",TIMELINES,04- Section - IV GCC.pdf,91,TEXT,None,MANDATORY,YES
"The material specification, workmanship, and acceptance criteria shall be as per approved standard Field Quality Plan. In case certain item is not covered in FQP, it shall be constructed as per CPWD specification/relevant BIS.","FOR TENDER PURPOSE- SPECIFICATION FOR SUBSTATION CIVIL                 5 OF68  
    
1.9 The material speciﬁcaƟon, workmanship and acceptance criteria shall be as per approved standard   
Field Quality Plan",QUALITY_STANDARDS,Technical Specification for Substation - Civil Works.pdf,4,TEXT,None,MANDATORY,YES
"Completion means that the Facilities (or a specific part thereof where specific parts are specified in the SCC) have been completed operationally and structurally and put in a tight and clean condition and that all works in respect of pre-commissioning of the Facilities (or a specific part thereof where specific parts are specified in the SCC) has been completed (wherever required, as per Technical Specifications) and Commissioning followed by Trail – Operation has been","(f) “Completion” means that the Facilities (or a specific part thereof   
where specific parts are specified in the SCC) have been   
completed operationally and structurally and put in a tight and   
clean condition and that all works in respect of pre -  
commissioning of the Facilities (or a specific part thereof where   
specific parts are specified in the SCC) has been completed   
(wherever required, as per Technical Specifications) and   
Commissioning followed by Trail – Operation has been",DOCUMENTATION,04- Section - IV GCC.pdf,4,TEXT,None,MANDATORY,UNKNOWN
"Provisions governing the performance of the Contractor, payments under the contract or matters affecting the risks, rights and obligations of the parties under the contract are not included in this section.","However, provisions governing the performance of the Contractor, payments   
under the cont ract or matters affecting the risks, rights and obligations of the   
parties under the contract are not included in this section but instead under",DOCUMENTATION,02 Section - II ITB.pdf,4,TEXT,None,MANDATORY,UNKNOWN
"The contractor shall keep and cause all Sub-Contractors to keep full and detailed books, logs, records, daily reports, schedules, accounts, payroll records, receipts, statements, electronic files, correspondence and other pertinent documents.","Books and Records   
   
The Contractor shall keep and, to the extent practicable, shall cause all   
Sub-Contractors to keep full and detailed books, logs, records, daily   
reports, schedules, accounts, payroll records, receipts, statements,   
electronic files, correspondence and other pertinent documents as may   
be necessary for proper management under this Contract of the   
obligations and as required under Applicable Law (“ Books and   
Records”)",QUALITY_STANDARDS,04- Section - IV GCC.pdf,32,TEXT,None,MANDATORY,YES
The contractor shall notify the Employer upon completion of system and acceptance tests.,"To :   
   
(Name and address of the Contractor)   
   
Dear Ladies and/or Gentlemen,   
   
Pursuant to GCC 2 3 (Completion of the Facilities  and Operational Acceptance ) of the   
General Conditions of the Contract entered into between yourselves and the Employer   
dated ………………… relating to the  (insert brief description of the Facilities)  we hereby notify   
you that the System tests and Acceptance tests of the following part(s) of the Facilities were   
satisfactorily completed on the date specified below:   
   
   
1",QUALITY_STANDARDS,06-Section - VI Forms and Procedures.pdf,26,TEXT,None,MANDATORY,YES
"The Contractor shall submit a notice of a claim for an extension of the Time for Completion, together with particulars of the event or circumstance justifying such extension as soon as reasonably practicable after the commencement of such event or circumstance.","Except where otherwise specifically provided in the Contract, the   
Contractor shall submit to the Project Manager a notice of a claim for   
an extension of the Time for Completion, together with particulars of    
the event or circumstance justifying such extension as soon as   
reasonably practicable after the commencement of such event or   
circumstance",TIMELINES,04- Section - IV GCC.pdf,73,TEXT,None,MANDATORY,UNKNOWN
The requirements of text of specification shall prevail in general.,"In case of any discrepancy between the drawings and text of specification, the requirements   
of text of specification shall prevail in general",DOCUMENTATION,Scope of Work.pdf,5,TEXT,None,MANDATORY,YES
The contractor shall provide a proof of final acceptance of the Plant and Equipment through an Operational Acceptance Certificate.,"Upon Operational Acceptance, pursuant to GCC Clause 23.2.2.2, the   
Project Manager shall within twenty one (21) days after the receipt   
of the Contractor’s notice,  issue to the Contractor a Operational   
Acceptance Certificate as a proof of the final acceptance of the Plant   
and Equipment",QUALITY_STANDARDS,04- Section - IV GCC.pdf,58,TEXT,None,MANDATORY,YES
"Test (FAT). Inspection call to be submitted along with Test Certificates. Based on the certificates from Supplier, KTL will provide clearance after reviewing reports.","Based on the   
certificates from Supplier, KTL will provide clearance after reviewing reports",TECHNICAL_SPECS,Technical Specification for Substation - Electrical Works.pdf,23,TEXT,None,MANDATORY,UNKNOWN
"The contractor shall provide Mandatory Spare Parts and Monitoring Instruments for Augmentation of Transformation capacity at Kallam PS on LSTK basis, as detailed in the Contract Document.","along with all equipments, fittings, accessories, foundation bolts (if any) cables, Mandatory   
Spare Parts and Monitoring Instruments for Augmentation of Transformation capacity at   
Kallam PS on LSTK basis, as detailed in the Contract Document ( ""the Scope of Work""), and   
the Contractor has agreed to such engagement upon and subject to the terms and conditions   
hereinafter appearing",QUALITY_STANDARDS,06-Section - VI Forms and Procedures.pdf,10,TEXT,None,MANDATORY,YES
The Employer may direct the Contractor to undertake any additional work by issuing a notice in writing (“Change Order”).,"During the execution of the Contract, the Employer may direct the   
Contractor to undertake any additional work in addition to the Scope   
of Work by issuin g a notice in writing (“Change Order”)",QUALITY_STANDARDS,04- Section - IV GCC.pdf,72,TEXT,None,MANDATORY,UNKNOWN
(cc) “Project Manager” means the person appointed by the Employer in the manner provided in GCC Clause 15.1 hereof to perform the duties delegated by the Employer.,"(cc) “Project Manager” means the person appointed by the Employer   
in the manner provided in GCC Clause 15.1 hereof to perform the   
duties delegated by the Employer",DOCUMENTATION,04- Section - IV GCC.pdf,7,TEXT,None,MANDATORY,UNKNOWN
The Contractor shall update and revise the program as and when appropriate or when required by the Project Manager.,"The Contractor shall update and revise the   
program as a nd when appropriate or when required by the Project   
Manager, but without modification in the Times for Completion under   
GCC Clause 4.2 and any extension granted in accordance with GCC   
Clause 37, and shall submit all such revisions to the Project Manager",TIMELINES,04- Section - IV GCC.pdf,31,TEXT,None,MANDATORY,YES
Bidders shall give a breakdown of the prices in the manner and detail called for in the Bid Price Schedule.,"Bidders shall give a breakdown of the prices in the manner and detail   
called for in the Bid Price Schedule   
11.3.1",DOCUMENTATION,02 Section - II ITB.pdf,17,TEXT,None,MANDATORY,YES
The Contractor shall refer to Approved Makes/OEM of equipment.,"In case of unavailability of the equipment with the OEM (under-installed makes) in the   
existing Substation, the Contractor shall refer to Approved Makes/OEM of such   
equipment",QUALITY_STANDARDS,Technical Specification for Substation - Electrical Works.pdf,19,TEXT,None,MANDATORY,YES
"The Contractor shall provide all assistance in instruments, materials, and personnel to the Employer for checking the detailed layout.","The Contractor shall provide all   
assistance in instruments, materials, and personnel to the Employer for checking the detailed layout   
and shall be solely responsible for the correctness of the layout and levels",QUALITY_STANDARDS,Technical Specification for Substation - Civil Works.pdf,3,TEXT,None,MANDATORY,YES
"The contractor shall submit a program of performance for the Contract, including the sequence of design, manufacture, transport, assembly, installation, and pre-commissioning of facilities, along with dates for completion, commissioning, and acceptance.","Section – IV: General Conditions of the Contract  Page 28   
program of performance of the Contract (L2 Network) in the form of   
the Critical Path Met hod (CPM), the PERT network, or other   
internationally used programs and showing the sequence in which it   
proposes to design, manufacture, transport, assemble, install and pre-  
commissioning the Facilities, as well as the date by which the   
Contractor reasonably requires that the Employer shall have fulfilled   
its obligations under the Contract so as to enable the Contractor to   
execute the Contract in accordance with the program and to achieve   
Completion, Commissioning and Acceptance of the Facilities in   
accordance with the Contract",TIMELINES,04- Section - IV GCC.pdf,31,TEXT,None,MANDATORY,YES
"This document defines the requirements of the Employer with regards to Quality Control and Quality Assurance (QCQA) that the Contractor (along with its sub-contractors, vendors, or any other person engaged by the Contractor) must abide by while executing the Works/Supplies/Services in accordance with the terms of the Contract/Agreement.","Introduction :-    
This document defines the requirements of the Employer with regards to Q uality Control   
and Quality Assurance (QCQA) that the   Contractor (along with its sub-contractors, vendors,   
or any other person engaged by the Contractor) must abide by while executing the Works/   
Supplies / Services in accordance with the terms of the Contract / Agreement",DOCUMENTATION,QA_001 QA QC Contractual Requirements.pdf,2,TEXT,None,MANDATORY,UNKNOWN
"The Contractor shall submit a detailed BOQ / Billing Breakup, for Employer’s review and approval, within 15 days of the Effective Date for billing and invoicing purpose.","The Contractor shall submit a detailed BOQ / Billing Breakup , for Employer’s   
review and approval, within 15 days of the Effective Date for billing and invoicing   
purpose, however the total price shall be restricted to the Contract Price",DOCUMENTATION,Scope of Work.pdf,4,TEXT,None,MANDATORY,YES
"The contractor shall not consider changes made necessary because of poor workmanship or omission of the Contractor in the performance of its obligations under the Contract as a Change, and such change shall not result in any adjustment of the Contract Price or the Time for Completion.","Changes made necessary because of poor workmanship/ omission of   
the Contractor in the performance of its obligations under the Contract   
shall not be deemed as a Change, and such change shall not result in   
any adjustment of the Contract Price or the Time for Completion",QUALITY_STANDARDS,04- Section - IV GCC.pdf,72,TEXT,None,MANDATORY,YES
Technicians/Fitter shall be clearly identifiable at site and dedicatedly used for inspection and checking only.,"Technicians / Fitter shall be clearly identifiable at site and dedicatedly used for   
inspection and checking only",QUALITY_STANDARDS,QA_001 QA QC Contractual Requirements.pdf,7,TEXT,None,MANDATORY,YES
"Any major breaches of the HSE Manual, relevant Statutory Provisions and Safety Codes, or any other blatant disregard for the health and safety by any person directly or indirectly associated with the works may result in the Employer exercising their authority in requiring the removal from the Site of the Contractor’s Site Manager and/or other personnel.","Confidential and propriety   
6.1 Discipline   
Any major breaches of the HSE Manual, relevant Statutory Provisions and Safety Codes, or   
any other blatant d isregard for the health and safety by any person directly or indirectly   
associated with the works may result in the Employer exercising their authority in requiring the   
removal from the Site of the Contractor’s Site Manager and/or other personnel",QUALITY_STANDARDS,HSE Code of Conduct for Contracts.pdf,8,TEXT,None,MANDATORY,YES
None,"These Conditions are issued in addition to the General Conditions of Contracts issued by   
Supply Chain/Contract department",DOCUMENTATION,HSE Code of Conduct for Contracts.pdf,3,TEXT,None,MANDATORY,UNKNOWN
The contractor shall prepare and submit a project specific “Project Quality Plan” within 30 days from the date of award of contract to the Employer’s Corp QA Head.,"Project Quality Plan :-    
Contractor shall prepare and submit project specific “Project Quality Plan” within 30   
(Thirty) days from the date of award of contract to the Employer’s Corp QA Head",QUALITY_STANDARDS,QA_001 QA QC Contractual Requirements.pdf,4,TEXT,None,MANDATORY,YES
The bidder shall acknowledge receipt of amendment(s) and undertake to carry out and hand over all works according to the Scope of Works.,"[insert number], the receipt of which is hereby duly acknowledged, we, the  undersigned offer to   
carry out and hand over all works as per the Scope of Works specified in the Bidding Documents   
and fulfil all contractual obligations including warranty, if any, in conformity with the said   
Bidding Documents comprising conditions of contract, specifications, drawings and schedules",DOCUMENTATION,2. Bid Forms (Technical Bid and Price Bid).pdf,1,TEXT,None,MANDATORY,YES
Training records shall be maintained and submitted to Employer for information and records.,"Training records shall be maintained and submitted to Employer for   
information and records",QUALITY_STANDARDS,QA_001 QA QC Contractual Requirements.pdf,12,TEXT,None,MANDATORY,YES
"The Contractor shall make changes, modifications and/or additions to the Facilities or any part thereof that are necessary to attain the Functional Guarantees at its cost and expense within a mutually agreed time.","If, for reasons attributable to the Contractor, the Functional Guarantees   
specified in the Technical Specifications are not attained either in   
whole or in part, but the minimum level of the Functional Guarantees   
specified in the Technical Specifications is met, the Contractor shall, at   
the Contractor’s option, either    
    
(a) make such changes, modifications and/or additions to the   
Facilities or any part thereof that are necessary to attain the   
Functional Guarantees at its cost and expense within a mutually   
agreed time and shall re quest the Employer to repeat the   
Guarantee Test, or    
    
(b) pay liquidated damages to the Employer in respect of the failure   
to meet the Functional Guarantees in accordance with the   
provisions in the SCC.",QUALITY_STANDARDS,04- Section - IV GCC.pdf,63,TEXT,None,MANDATORY,YES
The contractor shall ensure safety at the workplace.,"Purpose    
This document sets out Contractor Safety requirement in order to ensure safety at the   
workplace",QUALITY_STANDARDS,HSE Code of Conduct for Contracts.pdf,3,TEXT,None,MANDATORY,YES
The contractor shall provide detailed design calculations showing complete details.,"Detailed design   
calculaƟons shall be submiƩed by the bidder showing complete details",TECHNICAL_SPECS,Technical Specification for Substation - Civil Works.pdf,25,TEXT,None,MANDATORY,UNKNOWN
"The contractor shall satisfactorily perform the contract, and the Employer's interpretation of the Qualification Requirement shall be final and binding.","The Employer shall be the sole judge   
in this regard and the Employer’s interpretation of the Qualification   
Requirement shall be final and binding",QUALITY_STANDARDS,02 Section - II ITB.pdf,23,TEXT,None,MANDATORY,YES
The contractor shall maintain documentations of all training programs.,"Contractor to maintain   
documentations of all training programs",QUALITY_STANDARDS,06-Section - VI Forms and Procedures.pdf,40,TEXT,None,MANDATORY,YES
The Contractor's transport vehicles and other equipment shall conform to emission standards fixed by Statutory Agencies of Government of India or the State Government from time to time.,"• Contractor’s transport vehicles and other equipment shall conform to emission standards   
fixed by Statutory Agencies of Government of India or the State Government from time to   
time",QUALITY_STANDARDS,HSE Code of Conduct for Contracts.pdf,18,TEXT,None,MANDATORY,YES
The validity of the equipment’s type test reports shall be governed by the latest CEA’s “Guidelines for the Type Tests for Major Equipment in Power Sector” from the date of LOA of the project to the successful bidder.,"Type Tests Validity   
The validity of the equipment’s type test reports shall be governed by the   
latest CEA’s “Guidelines for the Type Tests for Major Equipment in Power   
Sector” from the date of LOA of the project to the successful bidder",QUALITY_STANDARDS,Technical Specification for Substation - Electrical Works.pdf,17,TEXT,None,MANDATORY,YES
The performance guarantees or ratings/parameters specified in the IEEE/IEC/IS standards or CEA specifications applicable to all the equipments to be supplied under the ambit of the scope of work shall be ensured by the contractor.,"Type Tests Validity   
The validity of the equipment’s type test reports shall be governed by the   
latest CEA’s “Guidelines for the Type Tests for Major Equipment in Power   
Sector” from the date of LOA of the project to the successful bidder",QUALITY_STANDARDS,Technical Specification for Substation - Electrical Works.pdf,17,TEXT,None,MANDATORY,YES
The mandatory spares w.r.t extension scope of work shall be provided as per Annexure-B (SOW) and shall not be used by the contractor in consumables during the erection.,"Type Tests Validity   
The validity of the equipment’s type test reports shall be governed by the   
latest CEA’s “Guidelines for the Type Tests for Major Equipment in Power   
Sector” from the date of LOA of the project to the successful bidder",QUALITY_STANDARDS,Technical Specification for Substation - Electrical Works.pdf,17,TEXT,None,MANDATORY,YES
"Additionally, the list of equipment condition monitoring instruments has been provided in Annexure -C (SOW) which is also part of the supply in this augmentation scope of work.","Type Tests Validity   
The validity of the equipment’s type test reports shall be governed by the   
latest CEA’s “Guidelines for the Type Tests for Major Equipment in Power   
Sector” from the date of LOA of the project to the successful bidder",DOCUMENTATION,Technical Specification for Substation - Electrical Works.pdf,17,TEXT,None,OPTIONAL,UNKNOWN
The contractor's liability under this letter of guarantee shall be to pay whichever is the lesser of the sum so requested or the amount then guaranteed hereunder in respect of any demand duly made hereunder prior to expiry of the letter of guarantee.,"Our liability under this Letter of Guarantee shall be to pay to you whichever is the lesser of   
the sum so requested or the amount then guaranteed hereunder in respect of any demand   
duly made hereunder p rior to expiry of the Letter of Guarantee, without being entitled to   
inquire whether or not this payment is lawfully demanded",DOCUMENTATION,06-Section - VI Forms and Procedures.pdf,15,TEXT,None,MANDATORY,UNKNOWN
